person_pdbId,name,bio,region
1,ALI-MARTABAT MUSHIRUL-MULK ALI-QADR KAZI ALI HAIDER ABBASI,"Political Member, Government Born 1891. Belongs to an ancient and pro- minent of Bhopal. Taluqdar family of Oudh. Educated at Downing College, Services placed at the disposal of Chamber of Princes to Cambridge. Joined service as Political Secretary, Bhopal, prepare Advisor to Indian States Delegation to the Table 1922. Indian States' case for Butler Committee, Indian 1928. Round Appointed Conference, 1930. Appointed Political Member, Bhopal State, 1935. Awarded title of 'Ali-Qadr,' 1926; Mushirul-Mulk, 1933, Silver Jubilee Medal, 1935. Subscribed Rs. 500 to Jubilee Fund. Member, Royal Institute of International Affairs, Royal Empire Society, East India Association, and India Society, (London). Has 2 daughters.",ALL India
2,NAWAB SIR AHMED HUSSAIN AMIN JUNG BAHADUR,"M.A., B.L., LL.D., K.C.I.E., C.S.I., Hyderabad, Deccan. Born 11th August, 1863. Educated at Christian College and Presidency College, Madras, Governor's Scholar. li-Martabat Mushirul-Mulk Ali-Qadr Kazi Deputy Collector and Magistrate, 1890-92; Assistant Secretary Ali Haider Abbasi, Political Member, Government of Bhopal. to the Nizam, 1893; Personal Secretary to the Nizam, 1895; Chief Secretary to Nizam's Government, 1905; Peshi Minister to Nizam's Government, 1915-35. Made C.S.I., 1911, and K.C.I.E., 1922.",ALL India
3,"AN. AINDLEY, DEWAN, KOREA STATE","Eastern States Agency. Educated at Mission School and Mission College, Delhi. Passed LL.B. Examination of the Delhi University in 1925 and was called to the Bar. Was Personal Assistant to the Diwan of Datia State in 1926 and has been serving the Korea State since 1927.",ALL India
4,SIR C. P. RAMASWAMY AIYAR,"B.A., B.L., K.C.I.E., Advocate, High Court, Madras, was born in 1879. He was educated at Wosley College, Madras; Presidency College and Law College, Madras and was English and Sanskrit University Prizeman. He was for many years Member, Madras Corporation, and its Standing Committee; Fellow and Syndic, Madras University, and trustee of various educational institutions. He was actively connected with the National Congress until 1918, being its Secretary in 1917-18. He gave evidence before Joint Parliamentary Committee on Reforms, 1919, and also before Boston and Southborough Committees. He was Advocate-General, Madras, from 1920 to 1923; and Member, Executive Council, Madras, from 1923 to 1928. In the latter capacity he started the Metur Irrigation and Pykara Hydro-electric projects. He represented India at the League of Nations Assembly in 1926 and again in 1927. He appeared before the Butler Committee on behalf of some of the Indian States in April, 1929, and also in the Patiala Enquiry along with Sir Tej Bahadur Sapru. He was elected to the Legislative Assembly in 1929 and to the Council of State in 1930. He was a delegate to the Round Table Conference and Member of the Federal Structure Committee in 1930. He was appointed Law Member, Governor-General's Executive Council, in 1930, and later on Commerce Member. He is author of various pamphlets and literary copies and is Member of Royal Automobile Club, National Liberal Club and Overseas Club, London, and of Cosmopolitan Club, Madras. In the year 1936 he was appointed Dewan of Travancore State where he has made himself popular not only with the Ruler but also with the ruled. He was awarded the title of ""Sachivo thama "" by His Highness and one of his first acts after assumption of office is the throwing open of all temples in the State to all classes of His Highness's Hindu subjects.",ALL India
5,ANANT RAM,"Bar-at-Law, Chief  Minister, scion Baghat State, Simla Hills. He graduated from Punjab University and was called to the Bar from Gray's Inn.",ALL India
6,KHAN BAHADUR KAZI SIR AZIZ-UD-DIN AHMAD,"Chief Minister Datia State. Born 1861. Served in U.P. Civil Service, 1885-1910.",ALL India
7,THAKUR GOPAL SINGH OF BADNOR,"a first-class noble of Udaipur State (Rajputana), lakh, an the estate comprising 125 villages and yielding an annual income of over a Jodha, founder of Jodhpur. His ancestor, Rao Jai Mal, emigrated to Mewar in the time of the Rajput of the Mertia clan. He is a descendant of Rao Duda, a younger son of Rao tribute payable to the Durbar being Rs. 4,124. He is a Rathore Maharana Udai Singh and is immortalised in history for his heroic fight unto death against Akbar during the siege of Chittor in 1567. The Thakurs of Badnor have always been loyal to the Durbar and the Crown. The present Thakur's ancestor, Thakur Pratap Singh, helped Col. George Patrick Lawrance, the A.G.G. in Rajputana, during the Mutiny, and also opposed the rebels' entry into Mewar. Thakur Gopal Singh was born in 1902 and succeeded to the Estate in 1921. He married the daughter of Thakur Devi Singh of Chomu in Jaipur and has a son. His Estate keeps its own police and exercises judicial powers. In 1933 he made a tour of England and some European countries. He has a great taste for History and antiquities and is the author of "" Jai Mul Vansha Prakash,"" a historical work of outstanding merit. He has given material assistance to several institutions in Mewaran Ajmer. He is a member of the Mahendra Raj Sabha, Udaipur. During the Great War his father, Thakur Govind Singh, subscribed Rs. 1,500 to War funds, contributed Rs. 5,000 to War Loan, and supplied to British Gov- ernment 161 recruits, the highest figure among the Thakur Gopal Singh of Badnor. nobles of Mewar. He joined both the Coronation Durbars at Delhi and received medals. He was a prominent figure in the reception accorded to His Royal Highness the Prince of Wales on his visit to Udaipur. The Royal Silver Jubilee in May, 1935, was befittingly celebrated in the State, Thakur Gopal Singh taking a prominent part in the same. He was awarded the Silver Jubilee Medal. ",ALL India
8,BADRUKHAN,"occupies an important place in history, where many leading and historic personalities saw the light of the day. The family is closely connected to the Royal family of Jind and Nabha. Raja Gujpat Singh made Badrukhan his Capital, Singh, the ancestor of the present ruling family of Jind, succeeded to the gaddi. Maharaja Ranjit but later on he transferred it to Jind. On the death of Raja Sangat Singh, Raja Sarup Singh, Raja Gujpat Singh's grandson by his daughter, renowned as The Lion of the Punjab,"" was also born at Badrukhan. On the death of Raja Bhagwan Singh of Nabha in 1871, Raja Hira Singh suc- ceeded to the Gaddi, according to the custom and Sanad of 1860. In the Mutiny of 1857 Sardar Dewan Singh served the Government with considerable distinction. The Badrukhan House has always been intensely loyal and devoted to the British Empire, and rendered valuable services in time of need. It also con- tributed liberally in the Great War. Amir- ul-Umra Sardar Fateh Singh, Rais-i- Azam, the head of the present family of Badrukhan, has one sister and two brothers, Sardar Chetin Singh and Sardar Teja Singh. His sister is married to His High- ness Maharaj Rana of Dholpur. His son, Tika Khushwant Singh, is reading in the Mayo College, Ajmer, and his daughter is married to Raja Chandar Raj Saran Singh of Sahanpur.",ALL India
9,DIWAN CHHELASHANKER LAKSHMISHANKER BAKSHI,"B.A., LL.B., Dewan, Jas- dan, Kathiawar, born 27th January, 1877 educated at Alfred High School, Rajkot, Wilson and Gujrat Colleges, Bombay and Ahmedabad ; married Miss Suntokkunwar Bawabhai Mankad of Jamnagar, 1894. Has three daughters and two sons. His brother, Rao Sahib Dr. V. L. Bakshi, is Medical Officer, Wadhwan C.S. His father, who died at the age of 86, was State Vakil for various States in Kathiawar. His uncle, Mr. Kalianrai Jetha Bakshi, was Dewan of Idar and Morvi and Joint Administrator at Porbandar. Bakshi Chhelashankar Lakshmishankar passed B.A. in 1897 ap- pointed teacher in the Wadhwan City High School, 1898; passed LL. B., in 1901 appointed Chief Justice at Idar, 1904 after retirement of his father (1907) served as State Vakil for Wadhwan and Mangrol States; served again at Idar as Chief Justice, 1911 resumed practice, 1912 joined Jasdan service, 1919, as Deputy Manager during Regency Administration appointed Advisor to the Regent Rani Sahiba of Jasdan, 1924 Dewan, Jasdan, 1925, since the Ruler assumed powers of the State. By strict probity and impartiality he has filled this high and responsible post with great distinction. Owing to illness he retired in November, 1934. The Ruler has magnanimously appreciated his services by granting a monthly pension of Rs. 400, the full salary he then received. Awarded Silver Jubilee Medal on 6th May, 1935. During tenure of his service many valuable reforms were intro- duced in the State, such as reorganisation of administration; abolition of forced labour; ownership over building sites and houses; village Dewan Chhelashanker L Bakshi, B.A., LL. B., Jasdan. and cultivators over their lands; landholders relieved from hereditary grant service obligations ownership Panchayats to with non-official Presidents ; revenue survey of the State; free of hereditary marriages granted and ownership over their holdings; pensionable State service; prohibition of child medical relief liquor; gratuitous help to the poor and disabled; well-equipped hospital with free prohibition of marriages between persons of very unequal ages; relief to indebted agriculturists; including free services of qualified nurse.",ALL India
10,DR. BALKRISHNA,"M.A., PH.D., F.S.S., F.R.E.S., F.R. HIST. S., Fellow, Bombay University Principal and Professor of Economics, Rajaram College, Kolhapur. Born 1882. Served in Gurukula University, Hardwar, as Professor, Vice-Principal, Principal and Governor. At Kolhapur worked as Inspector, Secondary Education President, Scout Association ; Chairman, Secondary Teachers' Association. Now President, Technical School, Col. Wood- house Orphanage, S. B. F. High School; Member, State Panchayat. Wrote several English and Hindi books. Travelled over America and the European Continent for studying economic conditions.",ALL India
