state,city
Andaman and Nicobar Islands(union territory),Port Blair
Andhra Pradesh,Adoni
Andhra Pradesh,Amaravati
Andhra Pradesh,Anantapur
Andhra Pradesh,Chandragiri
Andhra Pradesh,Chittoor
Andhra Pradesh,Dowlaiswaram
Andhra Pradesh,Eluru
Andhra Pradesh,Guntur
Andhra Pradesh,Kadapa
Andhra Pradesh,Kakinada
Andhra Pradesh,Kurnool
Andhra Pradesh,Machilipatnam
Andhra Pradesh,Nagarjunakoṇḍa
Andhra Pradesh,Rajahmundry
Andhra Pradesh,Srikakulam
Andhra Pradesh,Tirupati
Andhra Pradesh,Vijayawada
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Yemmiganur
Arunachal Pradesh,Itanagar
Assam,Dhuburi
Assam,Dibrugarh
Assam,Dispur
Assam,Guwahati
Assam,Jorhat
Assam,Nagaon
Assam,Sivasagar
Assam,Silchar
Assam,Tezpur
Assam,Tinsukia
Bihar,Ara
Bihar,Barauni
Bihar,Begusarai
Bihar,Bettiah
Bihar,Bhagalpur
Bihar,Bihar Sharif
Bihar,Bodh Gaya
Bihar,Buxar
Bihar,Chapra
Bihar,Darbhanga
Bihar,Dehri
Bihar,Dinapur Nizamat
Bihar,Gaya
Bihar,Hajipur
Bihar,Jamalpur
Bihar,Katihar
Bihar,Madhubani
Bihar,Motihari
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Patna
Bihar,Purnia
Bihar,Pusa
Bihar,Saharsa
Bihar,Samastipur
Bihar,Sasaram
Bihar,Sitamarhi
Bihar,Siwan
Chandigarh(union territory),Chandigarh
Chhattisgarh,Ambikapur
Chhattisgarh,Bhilai
Chhattisgarh,Bilaspur
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Jagdalpur
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Dadra and Nagar Haveli and Daman and Diu(union territory),Daman
Dadra and Nagar Haveli and Daman and Diu(union territory),Diu
Dadra and Nagar Haveli and Daman and Diu(union territory),Silvassa
Delhi(national capital territory),Delhi
Delhi(national capital territory),New Delhi
Goa,Madgaon
Goa,Panaji
Gujarat,Ahmadabad
Gujarat,Amreli
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Bhuj
Gujarat,Dwarka
Gujarat,Gandhinagar
Gujarat,Godhra
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Kandla
Gujarat,Khambhat
Gujarat,Kheda
Gujarat,Mahesana
Gujarat,Morbi
Gujarat,Nadiad
Gujarat,Navsari
Gujarat,Okha
Gujarat,Palanpur
Gujarat,Patan
Gujarat,Porbandar
Gujarat,Rajkot
Gujarat,Surat
Gujarat,Surendranagar
Gujarat,Valsad
Gujarat,Veraval
Haryana,Ambala
Haryana,Bhiwani
Haryana,Chandigarh
Haryana,Faridabad
Haryana,Firozpur Jhirka
Haryana,Gurugram
Haryana,Hansi
Haryana,Hisar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Panipat
Haryana,Pehowa
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Dalhousie
Himachal Pradesh,Dharmshala
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Kullu
Himachal Pradesh,Mandi
Himachal Pradesh,Nahan
Himachal Pradesh,Shimla
Himachal Pradesh,Una
Jammu and Kashmir (union territory),Anantnag
Jammu and Kashmir (union territory),Baramula
Jammu and Kashmir (union territory),Doda
Jammu and Kashmir (union territory),Gulmarg
Jammu and Kashmir (union territory),Jammu
Jammu and Kashmir (union territory),Kathua
Jammu and Kashmir (union territory),Punch
Jammu and Kashmir (union territory),Rajouri
Jammu and Kashmir (union territory),Srinagar
Jammu and Kashmir (union territory),Udhampur
Jharkhand,Bokaro
Jharkhand,Chaibasa
Jharkhand,Deoghar
Jharkhand,Dhanbad
Jharkhand,Dumka
Jharkhand,Giridih
Jharkhand,Hazaribag
Jharkhand,Jamshedpur
Jharkhand,Jharia
Jharkhand,Rajmahal
Jharkhand,Ranchi
Jharkhand,Saraikela
Karnataka,Badami
Karnataka,Ballari
Karnataka,Bengaluru
Karnataka,Belagavi
Karnataka,Bhadravati
Karnataka,Bidar
Karnataka,Chikkamagaluru
Karnataka,Chitradurga
Karnataka,Davangere
Karnataka,Halebid
Karnataka,Hassan
Karnataka,Hubballi-Dharwad
Karnataka,Kalaburagi
Karnataka,Kolar
Karnataka,Madikeri
Karnataka,Mandya
Karnataka,Mangaluru
Karnataka,Mysuru
Karnataka,Raichur
Karnataka,Shivamogga
Karnataka,Shravanabelagola
Karnataka,Shrirangapattana
Karnataka,Tumakuru
Karnataka,Vijayapura
Kerala,Alappuzha
Kerala,Vatakara
Kerala,Idukki
Kerala,Kannur
Kerala,Kochi
Kerala,Kollam
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Mattancheri
Kerala,Palakkad
Kerala,Thalassery
Kerala,Thiruvananthapuram
Kerala,Thrissur
Ladakh(union territory),Kargil
Ladakh(union territory),Leh
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Bharhut
Madhya Pradesh,Bhind
Madhya Pradesh,Bhojpur
Madhya Pradesh,Bhopal
Madhya Pradesh,Burhanpur
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Chhindwara
Madhya Pradesh,Damoh
Madhya Pradesh,Datia
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Dr. Ambedkar Nagar (Mhow)
Madhya Pradesh,Guna
Madhya Pradesh,Gwalior
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Indore
Madhya Pradesh,Itarsi
Madhya Pradesh,Jabalpur
Madhya Pradesh,Jhabua
Madhya Pradesh,Khajuraho
Madhya Pradesh,Khandwa
Madhya Pradesh,Khargone
Madhya Pradesh,Maheshwar
Madhya Pradesh,Mandla
Madhya Pradesh,Mandsaur
Madhya Pradesh,Morena
Madhya Pradesh,Murwara
Madhya Pradesh,Narsimhapur
Madhya Pradesh,Narsinghgarh
Madhya Pradesh,Narwar
Madhya Pradesh,Neemuch
Madhya Pradesh,Nowgong
Madhya Pradesh,Orchha
Madhya Pradesh,Panna
Madhya Pradesh,Raisen
Madhya Pradesh,Rajgarh
Madhya Pradesh,Ratlam
Madhya Pradesh,Rewa
Madhya Pradesh,Sagar
Madhya Pradesh,Sarangpur
Madhya Pradesh,Satna
Madhya Pradesh,Sehore
Madhya Pradesh,Seoni
Madhya Pradesh,Shahdol
Madhya Pradesh,Shajapur
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Ujjain
Madhya Pradesh,Vidisha
Maharashtra,Ahmadnagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Bhandara
Maharashtra,Bhusawal
Maharashtra,Bid
Maharashtra,Buldhana
Maharashtra,Chandrapur
Maharashtra,Daulatabad
Maharashtra,Dhule
Maharashtra,Jalgaon
Maharashtra,Kalyan
Maharashtra,Karli
Maharashtra,Kolhapur
Maharashtra,Mahabaleshwar
Maharashtra,Malegaon
Maharashtra,Matheran
Maharashtra,Mumbai
Maharashtra,Nagpur
Maharashtra,Nanded
Maharashtra,Nashik
Maharashtra,Osmanabad
Maharashtra,Pandharpur
Maharashtra,Parbhani
Maharashtra,Pune
Maharashtra,Ratnagiri
Maharashtra,Sangli
Maharashtra,Satara
Maharashtra,Sevagram
Maharashtra,Solapur
Maharashtra,Thane
Maharashtra,Ulhasnagar
Maharashtra,Vasai-Virar
Maharashtra,Wardha
Maharashtra,Yavatmal
Manipur,Imphal
Meghalaya,Cherrapunji
Meghalaya,Shillong
Mizoram,Aizawl
Mizoram,Lunglei
Nagaland,Kohima
Nagaland,Mon
Nagaland,Phek
Nagaland,Wokha
Nagaland,Zunheboto
Odisha,Balangir
Odisha,Baleshwar
Odisha,Baripada
Odisha,Bhubaneshwar
Odisha,Brahmapur
Odisha,Cuttack
Odisha,Dhenkanal
Odisha,Kendujhar
Odisha,Konark
Odisha,Koraput
Odisha,Paradip
Odisha,Phulabani
Odisha,Puri
