agency,state,state_control,now_part_of,last_ruler
Individualresidencies,Hyderabad,Individualresidency,"Telangana,Maharashtra and Karnataka",MukarramJah
Individualresidencies,Jammu and Kashmir,Individualresidency,"Jammu and Kashmir, Ladakh, Azad Kashmir, Gilgit-Baltistan, Aksai Chin, Trans-Karakoram Tract,China","ShrimanRajrajeshwarMaharajadhirajSriSirHariSinghIndarMahindarBahadur,Sipar-i-Sultanat-e-Inglisia,MaharajaofJammu and Kashmir"
Individualresidencies,Mysore,Individualresidency,Karnataka,ShriJayachamarajendraWadiyar
Individualresidencies,Benares,Individualresidency,UttarPradesh,"UditNarayanSingh,SirPrabhuNarayanSingh,AdityaNarayanSingh,VibhutiNarayanSingh"
Individualresidencies,Travancore,Individualresidency,Keralaand5taluks(Kanyakumaridistrict)ofTamilNadu,"ShriPadmanabhaDasaSreeChithiraThirunalBalaramaVarmaVanchiPalaMaharajaMartandaVarmaVShriUthradomThirunalKulasekharaKiritapatiManneySultanMaharajaRajaRamarajaBahadurShamsherJung,MaharajaofTravancore"
BaluchistanAgency,Kalat,PrincelyState,Balochistan,"BeglarBegiMirAghaSuleimanJan,KhanofKalat"
BaluchistanAgency,Kharan,PrincelyState,Balochistan,HabibullahKhan
BaluchistanAgency,LasBela,PrincelyState,Balochistan,"MirMuhammadYusufKhan,TheAmirandJamofLasBela"
BaluchistanAgency,Makran,PrincelyState,Balochistan,BaiKhanBalochGikchi
DeccanStatesAgencyandKolhapurResidency(Maratha),Akalkot,PrincelyState,Maharashtra,ShrimantMalojirajeBhosle
DeccanStatesAgencyandKolhapurResidency(Maratha),Aundh,PrincelyState,Maharashtra,MeherbanShrimantBhawanraoShriniwasraoPantPratinidhi
DeccanStatesAgencyandKolhapurResidency(Maratha),Bhor,PrincelyState,Maharashtra,"RajaShrimantSirRaghunathraoShankarraoPanditPantSachiv,RajaofBhor"
DeccanStatesAgencyandKolhapurResidency(Maratha),Jamkhandi,PrincelyState,Karnataka,RajaSahebShrimantRajaPranayRaoParshuramRaoPatwardhan
